company,city,district,industry,size,weekend_type,leave_difficulty,overtime_status,source_type,source_url,last_verified,notes
甲骨文 Oracle,上海,,软件,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
SAP,上海,,软件,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
eBay,上海,,互联网/电商,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
PayPal,上海,,支付/金融科技,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
领英 LinkedIn,北京,,互联网,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
Airbnb 爱彼迎,北京,,互联网/旅游,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
Grab,北京,,互联网/出行,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
Shopee,北京,,互联网/电商,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
Shopee,上海,,互联网/电商,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
Shopee,深圳,,互联网/电商,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
Autodesk,北京,,软件,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
Autodesk,上海,,软件,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
Unity,上海,,游戏引擎,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
Electronic Arts (EA),上海,,游戏,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
育碧 Ubisoft,上海,,游戏,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
知乎,北京,,互联网,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录；部分部门可能有 975 情况
豆瓣,北京,,互联网,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
酷安 Coolapk,北京,,互联网,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
酷安 Coolapk,深圳,,互联网,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
唯品会 Vipshop,上海,,电商,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
VMware,北京,,软件,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
VMware,上海,,软件,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
红帽 Red Hat,北京,,软件,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
红帽 Red Hat,上海,,软件,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
红帽 Red Hat,深圳,,软件,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
红帽 Red Hat,西安,,软件,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
SUSE,北京,,软件,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
SUSE,上海,,软件,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
SUSE,深圳,,软件,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
Zoom,合肥,,软件,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
Zoom,杭州,,软件,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
Zoom,苏州,,软件,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
LeetCode 力扣,上海,,互联网/教育,小厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
XMind,深圳,,软件,小厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
汇丰 HSBC,上海,,金融,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
汇丰 HSBC,广州,,金融,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
汇丰 HSBC,西安,,金融,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
摩根士丹利 Morgan Stanley (IT),上海,,金融,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
野村证券 Nomura,上海,,金融,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
花旗金融 CSTC,上海,,金融,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
道富 State Street,杭州,,金融,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
Optiver 逼实,上海,,金融/量化,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
ThoughtWorks,西安,,IT咨询,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
ThoughtWorks,北京,,IT咨询,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
ThoughtWorks,深圳,,IT咨询,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
ThoughtWorks,成都,,IT咨询,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
ThoughtWorks,武汉,,IT咨询,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
ThoughtWorks,上海,,IT咨询,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
爱立信 Ericsson,上海,,通信,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
诺基亚 Nokia,上海,,通信,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
诺基亚 Nokia,南京,,通信,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
诺基亚 Nokia,杭州,,通信,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
博世 Bosch,上海,,汽车零部件/制造,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
博世 Bosch,苏州,,汽车零部件/制造,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
博世 Bosch,无锡,,汽车零部件/制造,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
大陆集团 Continental,上海,,汽车零部件,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
大陆集团 Continental,合肥,,汽车零部件,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
霍尼韦尔 Honeywell,上海,,制造,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
惠普 HP,上海,,硬件,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
戴尔 Dell,上海,,硬件,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
飞利浦 Philips,上海,,医疗/家电,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
飞利浦 Philips,苏州,,医疗/家电,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
乐高 LEGO,上海,,玩具/制造,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
耐克 Nike,上海,,消费品,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
星巴克 Starbucks,上海,,餐饮/零售,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录（技术/职能岗）
万事达 Afterpay,上海,,支付/金融科技,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
趋势科技 Trend Micro,南京,,软件,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
ArcSoft 虹软,杭州,,软件/算法,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
MicroStrategy,杭州,,软件,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
Calix,南京,,通信,小厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
FreeWheel,北京,,广告技术,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
Hulu,北京,,流媒体,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
SmartNews,北京,,互联网,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
SmartNews,上海,,互联网,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
Snap,北京,,互联网,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
Snap,深圳,,互联网,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
Duolingo 多邻国,北京,,互联网/教育,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
Canva 可画,北京,,软件/设计,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
Canva 可画,武汉,,软件/设计,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
JetBrains,北京,,软件,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
JetBrains,上海,,软件,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
乐高 Evans,大连,,软件,小厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,Rakuten 乐天 - 上海/大连
乐天 Rakuten,上海,,互联网/电商,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
乐天 Rakuten,大连,,互联网/电商,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
iHerb,上海,,电商,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
eHealth,厦门,,互联网/保险,小厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
RingCentral,厦门,,通信/软件,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
RingCentral,杭州,,通信/软件,中厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
长城汽车,保定,,汽车,大厂,双休,,,媒体报道,https://m.toutiao.com/article/7664049801071264282,2026-05,2026年初取消大小周全员双休（含工厂岗位）；另见北京/天津等基地待核实
美的集团,佛山,,家电/制造,大厂,双休,,,媒体报道,https://aiqicha.baidu.com/details/ugknowledge?id=d7025ee7192808a84eb47497356d73f8,2026-05,2025年起强制下班制度保障双休；加班需审批
美的集团,合肥,,家电/制造,大厂,双休,,,媒体报道,https://aiqicha.baidu.com/details/ugknowledge?id=d7025ee7192808a84eb47497356d73f8,2026-05,同集团政策待分基地核实
海尔集团,青岛,,家电/制造,大厂,双休,,,媒体报道,https://m.toutiao.com/article/7664049801071264282,2026-05,严格加班审批制周末加班需提前一周申请
大疆 DJI,深圳,,无人机/制造,大厂,双休,,,媒体报道,https://m.toutiao.com/article/7664049801071264282,2026-05,晚9点清场禁止留岗加班周末仅核心运维值守
字节跳动,北京,,互联网,大厂,双休,,,媒体报道,https://wiki.mbalib.com/wiki/大小周,2026-05,2021年8月起取消大小周；加班需系统提交申请
字节跳动,上海,,互联网,大厂,双休,,,媒体报道,https://wiki.mbalib.com/wiki/大小周,2026-05,同上
字节跳动,深圳,,互联网,大厂,双休,,,媒体报道,https://wiki.mbalib.com/wiki/大小周,2026-05,同上
快手,北京,,互联网,大厂,双休,,,媒体报道,https://wiki.mbalib.com/wiki/大小周,2026-05,2021年7月起取消大小周
腾讯,深圳,,互联网,大厂,双休,,,媒体报道,https://wiki.mbalib.com/wiki/大小周,2026-05,光子工作室2021年起周末保证双休严禁连续两天加班；整体严控加班中
网易游戏,杭州,,游戏,大厂,双休,,,媒体报道,https://aiqicha.baidu.com/details/ugknowledge?id=d7025ee7192808a84eb47497356d73f8,2026-05,2025年4月起全面执行双休（媒体报道）
网易游戏,广州,,游戏,大厂,双休,,,媒体报道,https://aiqicha.baidu.com/details/ugknowledge?id=d7025ee7192808a84eb47497356d73f8,2026-05,同上
蔚来 NIO,合肥/上海,,汽车,大厂,双休,,,媒体报道,https://m.toutiao.com/article/7664049801071264282,2026-05,严控加班时长周末加班层层审批
理想汽车,北京/常州,,汽车,大厂,双休,,,媒体报道,https://m.toutiao.com/article/7664049801071264282,2026-05,严控加班时长周末加班层层审批
比亚迪 BYD,深圳,,汽车/制造,大厂,双休,,,媒体报道,https://m.toutiao.com/article/7664049801071264282,2026-05,严控加班时长周末加班须审批（媒体2026报道与旧印象差异大请以实际为准）
元气森林,深圳,,消费品,中厂,双休,,,企业信息平台,https://aiqicha.baidu.com/details/ugknowledge?id=d7025ee7192808a84eb47497356d73f8,2026-05,弹性工作制周末双休（福田区）
喜之郎,深圳,,食品,中厂,双休,,,企业信息平台,https://aiqicha.baidu.com/details/ugknowledge?id=d7025ee7192808a84eb47497356d73f8,2026-05,早8:30晚5:30双休+员工旅游（南山区）
妙可蓝多,深圳,,食品,中厂,双休,,,企业信息平台,https://aiqicha.baidu.com/details/ugknowledge?id=d7025ee7192808a84eb47497356d73f8,2026-05,早9晚5:30双休+股票期权（龙岗区）
维他奶,深圳,,食品饮料,中厂,双休,,,企业信息平台,https://aiqicha.baidu.com/details/ugknowledge?id=d7025ee7192808a84eb47497356d73f8,2026-05,双休+交通补贴（罗湖区）
维达纸业,深圳,,制造,中厂,双休,,,企业信息平台,https://aiqicha.baidu.com/details/ugknowledge?id=d7025ee7192808a84eb47497356d73f8,2026-05,双休+交通补贴（罗湖区）
东鹏特饮,深圳,,食品饮料,中厂,双休,,,企业信息平台,https://aiqicha.baidu.com/details/ugknowledge?id=d7025ee7192808a84eb47497356d73f8,2026-05,双休+弹性福利
美赞臣,深圳,,消费品,中厂,双休,,,企业信息平台,https://aiqicha.baidu.com/details/ugknowledge?id=d7025ee7192808a84eb47497356d73f8,2026-05,双休+弹性福利
金域医学,广州,,医疗检验,中厂,双休,,,企业信息平台,https://aiqicha.baidu.com/details/ugknowledge?id=d7025ee7192808a84eb47497356d73f8,2026-05,第三方医学检测行业标杆
广汽集团,广州,,汽车,大厂,双休,,,企业信息平台,https://aiqicha.baidu.com/details/ugknowledge?id=d7025ee7192808a84eb47497356d73f8,2026-05,新能源汽车与智能驾驶技术领先
星际悦动,广州,,医疗健康,中厂,双休,,,企业信息平台,https://aiqicha.baidu.com/details/ugknowledge?id=d7025ee7192808a84eb47497356d73f8,2026-05,口腔护理头部品牌
提米文化,重庆,,文化传媒,小厂,双休,,,企业信息平台,https://aiqicha.baidu.com/details/ugknowledge?id=d7025ee7192808a84eb47497356d73f8,2026-05,短剧公司编剧导演等岗位双休
罗欣药业,临沂,,医药,中厂,双休,,,企业信息平台,https://aiqicha.baidu.com/details/ugknowledge?id=d7025ee7192808a84eb47497356d73f8,2026-05,双休工作环境优
小米之家,临沂,,零售,小厂,双休,,,企业信息平台,https://aiqicha.baidu.com/details/ugknowledge?id=d7025ee7192808a84eb47497356d73f8,2026-05,早9晚6双休+五险一金
瀚潍环保,,环保,,中厂,双休,,,企业信息平台,https://aiqicha.baidu.com/details/ugknowledge?id=d7025ee7192808a84eb47497356d73f8,2026-05,每日7小时工作制双休+福利假
